source_relpath,label,dataset,source_format,sensor_type,rows_written,rows_skipped,parse_errors
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_01/fall/fall1.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,1089,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_01/fall/fall1.txt,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_txt,imu_fusion,1089,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_01/fall/fall2.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,837,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_01/fall/fall3.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,807,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_01/fall/fall4.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,889,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_01/fall/fall6.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,839,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_02/fall/fall1.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,787,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_02/fall/fall2.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,813,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_02/fall/fall3.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,890,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_02/fall/fall4.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,854,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_02/fall/fall6.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,869,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_03/fall/fall1.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,859,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_03/fall/fall2.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,829,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_03/fall/fall3.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,829,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_03/fall/fall4.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,819,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_03/fall/fall6.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,859,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_04/fall/fall1.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,889,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_04/fall/fall2.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,819,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_04/fall/fall3.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,849,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_04/fall/fall4.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,859,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_04/fall/fall6.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,899,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_05/fall/fall1.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,794,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_05/fall/fall2.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,809,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_05/fall/fall3.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,849,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_05/fall/fall6.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,884,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_06/fall/fall1.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,829,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_06/fall/fall2.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,839,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_06/fall/fall3.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,829,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_06/fall/fall6.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,869,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_07/fall/fall1.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,859,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_07/fall/fall2.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,879,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_07/fall/fall3.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,869,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_07/fall/fall6.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,959,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_08/fall/fall1.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,859,0,0
FALL/HR_IMU_falldetection_dataset-master(csv)/subject_08/fall/fall2.csv,FALL,HR_IMU_falldetection_dataset-master(csv),hr_imu_csv,imu_fusion,839,0,0
