time_1,time_2,time_3,time_4,time_5,time_6,w,x,y,z,droll,dpitch,dyaw,ax,ay,az,heart
2018,5,17,22,41,34.459,-0.0672,-0.9247,0.3066,-0.2151,0.7,-0.3,-0.6,-0.003,0.004,-0.003,0
2018,5,17,22,41,34.478,-0.067,-0.9248,0.3063,-0.2152,0,0,0,0,0.006,-0.005,0
2018,5,17,22,41,34.496,-0.067,-0.9249,0.3059,-0.2153,0,0,0,0,0.006,-0.006,0
2018,5,17,22,41,34.521,-0.067,-0.925,0.3056,-0.2153,0,0,0,0.002,0.005,-0.012,0
2018,5,17,22,41,34.538,-0.067,-0.9251,0.3052,-0.2153,0,0,0,-0.005,0.003,-0.008,1023
2018,5,17,22,41,34.558,-0.067,-0.9253,0.3048,-0.2153,-0.2,0.6,0.3,-0.002,0,-0.005,1023
2018,5,17,22,41,34.596,-0.0671,-0.9254,0.3044,-0.2152,0,0,0,0,-0.002,0,1023
2018,5,17,22,41,34.618,-0.0669,-0.9255,0.3041,-0.2152,0,0.5,0,-0.002,-0.002,0,1023
2018,5,17,22,41,34.624,-0.067,-0.9256,0.3037,-0.2153,0,0,0,-0.003,-0.001,0,1023
2018,5,17,22,41,34.64,-0.067,-0.9257,0.3033,-0.2154,0,0,0,-0.002,0,0,1023
2018,5,17,22,41,34.688,-0.067,-0.9258,0.303,-0.2154,0,0,0,0,0.002,-0.002,1023
2018,5,17,22,41,34.69,-0.0667,-0.9259,0.3026,-0.2155,0,0,0,-0.002,0,-0.005,1023
2018,5,17,22,41,34.698,-0.0666,-0.9261,0.3022,-0.2156,0,0,0,-0.003,0.001,-0.008,1023
2018,5,17,22,41,34.736,-0.0664,-0.9262,0.3018,-0.2156,0,0,0,-0.001,0.002,-0.012,1023
2018,5,17,22,41,34.756,-0.0664,-0.9263,0.3015,-0.2156,-0.5,0.6,-0.2,-0.002,0.006,-0.003,1023
2018,5,17,22,41,34.76,-0.0663,-0.9264,0.3012,-0.2155,-0.3,0.6,0,-0.009,0.001,-0.005,1023
2018,5,17,22,41,34.795,-0.0663,-0.9266,0.3008,-0.2155,0,0,0,-0.003,0.002,0,1023
2018,5,17,22,41,34.817,-0.0663,-0.9267,0.3004,-0.2156,0,0,0,-0.001,0.001,0.001,1023
2018,5,17,22,41,34.822,-0.0661,-0.9268,0.3001,-0.2157,0,0,0,-0.001,0,-0.001,1023
2018,5,17,22,41,34.859,-0.0659,-0.9269,0.2997,-0.2158,0,0,0,-0.002,-0.001,-0.005,1023
2018,5,17,22,41,34.88,-0.0657,-0.927,0.2993,-0.2159,0,0,0,-0.001,0.001,-0.006,1023
2018,5,17,22,41,34.884,-0.0656,-0.9271,0.2989,-0.2159,0,0,0,0.001,0,-0.004,1023
2018,5,17,22,41,34.92,-0.0655,-0.9272,0.2986,-0.216,0,0,0,-0.002,0.001,-0.004,1023
2018,5,17,22,41,34.94,-0.0655,-0.9273,0.2982,-0.216,0,0,0,0,0,-0.005,1023
2018,5,17,22,41,34.943,-0.0652,-0.9274,0.2978,-0.2162,0.5,-0.2,0,-0.001,0,-0.006,1023
2018,5,17,22,41,34.979,-0.0653,-0.9275,0.2974,-0.2163,0,0,0,-0.002,0.001,-0.005,1023
2018,5,17,22,41,35.001,-0.0652,-0.9277,0.297,-0.2163,0,0,0,-0.006,0.003,-0.007,1023
2018,5,17,22,41,35.006,-0.0652,-0.9278,0.2967,-0.2164,0,0,0,0,0.002,-0.004,0
2018,5,17,22,41,35.023,-0.0651,-0.9279,0.2963,-0.2164,0,0,0,0.001,0.001,-0.005,0
2018,5,17,22,41,35.06,-0.0652,-0.928,0.296,-0.2165,0,0,0,0.002,0.002,0.002,0
