subject_id,activity_id,trial_id,is_fall,time,WRST_ACC_X,WRST_ACC_Y,WRST_ACC_Z,WRST_ANG_X,WRST_ANG_Y,WRST_ANG_Z,WRST_LUMINOSITY
01,06,01,0,24-May-2018 12:14:19,-0.96846,-0.31634,-0.2297,-65.396,24.16175,-6.57025,112.441
01,06,01,0,24-May-2018 12:14:19,-0.96846,-0.31634,-0.2297,-65.396,24.16175,-6.57025,112.441
01,06,01,0,24-May-2018 12:14:19,-0.96846,-0.31634,-0.2297,-65.396,24.16175,-6.57025,112.441
01,06,01,0,24-May-2018 12:14:19,-0.96846,-0.31634,-0.2297,-65.396,24.16175,-6.57025,112.441
01,06,01,0,24-May-2018 12:14:20,0.06865,-0.7601,0.09755,-48.5446666666667,1.79,-198.421833333333,112.441
01,06,01,0,24-May-2018 12:14:20,0.06865,-0.7601,0.09755,-48.5446666666667,1.79,-198.421833333333,112.441
01,06,01,0,24-May-2018 12:14:20,0.06865,-0.7601,0.09755,-48.5446666666667,1.79,-198.421833333333,112.441
01,06,01,0,24-May-2018 12:14:20,0.06865,-0.7601,0.09755,-48.5446666666667,1.79,-198.421833333333,0
01,06,01,0,24-May-2018 12:14:21,0.4153,-0.562385714285714,0.207714285714286,-5.864,3.56716666666667,157.408333333333,685.3485
01,06,01,0,24-May-2018 12:14:21,0.4153,-0.562385714285714,0.207714285714286,-5.864,3.56716666666667,157.408333333333,685.3485
01,06,01,0,24-May-2018 12:14:21,0.4153,-0.562385714285714,0.207714285714286,-5.864,3.56716666666667,157.408333333333,685.3485
01,06,01,0,24-May-2018 12:14:21,0.4153,-0.562385714285714,0.207714285714286,-5.864,3.56716666666667,157.408333333333,685.3485
01,06,01,0,24-May-2018 12:14:22,-0.9737,-0.383425,-0.0443,114.421,20.305,-31.4025,676.771
01,06,01,0,24-May-2018 12:14:22,-0.9737,-0.383425,-0.0443,114.421,20.305,-31.4025,676.771
