heart,z,y,x,w,droll,dpitch,dyaw,ax,ay,az,time_1,time_2,time_3,time_4,time_5,time_6
0,0.8325,-0.0678,-0.3525,0.4219,-7.8,-65.3,34.7,-0.076,0.111,0.18,2018,4,24,22,40,13.643
0,0.8243,-0.0637,-0.3623,0.4301,-0.4,-73.6,39.4,-0.028,0.048,0.038,2018,4,24,22,40,13.664
0,0.8157,-0.0563,-0.3738,0.4377,1.8,-75.2,40.3,0.009,-0.012,-0.076,2018,4,24,22,40,13.674
0,0.8068,-0.0512,-0.3843,0.4458,1.5,-68.6,36.6,0.024,-0.073,-0.186,2018,4,24,22,40,13.705
0,0.7989,-0.0481,-0.3916,0.4538,6.4,-54.5,29,0.048,-0.14,-0.273,2018,4,24,22,40,13.729
0,0.793,-0.0449,-0.3959,0.4606,13.1,-32.5,16.9,0.071,-0.179,-0.359,2018,4,24,22,40,13.737
0,0.7901,-0.0421,-0.3964,0.4655,13.9,-3.7,2.1,0.097,-0.181,-0.442,2018,4,24,22,40,13.755
0,0.7904,-0.0414,-0.393,0.4679,6.9,27.5,-12.7,0.1,-0.158,-0.45,2018,4,24,22,40,13.778
0,0.7939,-0.0429,-0.3861,0.4676,5.1,55.5,-26.4,0.053,-0.133,-0.388,2018,4,24,22,40,13.797
0,0.8,-0.0447,-0.3753,0.4659,20.8,75.4,-35.6,-0.027,-0.06,-0.21,2018,4,24,22,40,13.814
0,0.8077,-0.0408,-0.3628,0.4628,43.1,84.5,-39.3,-0.067,0.082,-0.027,2018,4,24,22,40,13.837
0,0.8152,-0.0376,-0.3472,0.4618,46,78,-37,-0.096,0.218,0.11,2018,4,24,22,40,13.854
0,0.8213,-0.0359,-0.3339,0.4611,26.2,61.2,-29.2,-0.092,0.299,0.236,2018,4,24,22,40,13.874
0,0.8248,-0.037,-0.3257,0.4605,-0.5,37,-14,-0.07,0.289,0.32,2018,4,24,22,40,13.894
0,0.8253,-0.039,-0.3224,0.4619,-2.1,6.3,6.8,-0.076,0.352,0.423,2018,4,24,22,40,13.932
0,0.8223,-0.0394,-0.3235,0.4663,-3.8,-25.7,23.5,-0.063,0.291,0.397,2018,4,24,22,40,13.952
1023,0.8165,-0.0389,-0.3294,0.4724,-13.5,-53.4,34.6,-0.05,0.194,0.278,2018,4,24,22,40,13.956
1023,0.8086,-0.0388,-0.3397,0.4787,-28.2,-72.3,39.6,-0.027,0.075,0.143,2018,4,24,22,40,13.992
